"10467: Fødte, etter statistikkvariabel, fornavn og år"

"statistikkvariabel";"fornavn";"1950";"1955";"1960";"1965";"1970";"1975";"1980";"1985";"1990";"1995";"2000";"2005";"2010";"2015";"2020"
"Andel av fødte (prosent)";"Inger-Johanne";0.056;0.059;0.024;0.022;0.016;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Inger-Lise";0.135;0.121;0.087;0.093;0.061;0.042;0.037;0.031;0.033;.;.;.;.;.;.
"Andel av fødte (prosent)";"Inger-Marie";0.023;0.016;0.015;.;.;0.017;.;0.011;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Ingerid";0.023;0.022;.;0.019;.;0.023;0.023;0.014;0.023;0.020;0.034;.;0.024;.;.
"Andel av fødte (prosent)";"Ingfrid";0.063;0.037;0.027;0.014;.;0.017;0.011;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Inghild";0.016;0.012;0.012;0.014;0.013;.;0.026;0.011;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Ingjerd";0.099;0.096;0.060;0.044;0.045;0.023;0.046;0.014;0.013;0.017;.;.;.;.;.
"Andel av fødte (prosent)";"Ingri";0.016;.;.;.;0.011;.;.;0.020;0.026;0.029;0.024;0.016;0.021;.;.
"Andel av fødte (prosent)";"Ingrid";0.883;0.759;0.691;0.553;0.393;0.453;0.751;0.842;0.897;1.135;1.375;1.165;1.187;0.919;1.017
"Andel av fødte (prosent)";"Ingrida";.;.;.;.;.;0.017;0.026;0.011;0.038;.;.;.;.;.;.
"Andel av fødte (prosent)";"Ingun";0.056;0.084;0.057;0.065;0.050;0.025;0.014;0.014;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Ingunn";0.303;0.513;0.398;0.444;0.432;0.315;0.294;0.164;0.110;0.107;0.058;0.032;0.012;0.013;.
"Andel av fødte (prosent)";"Ingvil";.;.;.;.;0.016;0.023;0.011;0.017;0.013;0.012;0.015;.;.;.;.
"Andel av fødte (prosent)";"Ingvild";0.076;0.106;0.109;0.158;0.169;0.383;0.445;0.357;0.384;0.472;0.324;0.215;0.134;0.086;0.107
"Andel av fødte (prosent)";"Ingvill";0.023;0.031;0.033;0.046;0.024;0.115;0.054;0.050;0.056;0.026;0.015;0.025;.;.;.
"Andel av fødte (prosent)";"Iqra";.;.;.;.;.;.;.;.;0.026;0.035;0.012;0.025;0.018;0.013;0.015
"Andel av fødte (prosent)";"Iren";.;0.128;0.127;0.112;0.121;0.065;0.066;0.033;0.015;.;.;.;.;.;.
"Andel av fødte (prosent)";"Irena";.;0.022;0.018;0.035;0.026;0.020;0.034;0.011;0.010;.;.;.;.;.;.
"Andel av fødte (prosent)";"Irene";0.379;0.659;0.543;0.684;0.537;0.399;0.345;0.215;0.136;0.069;0.034;0.022;0.024;0.023;0.030
"Andel av fødte (prosent)";"Irina";0.013;0.012;0.069;0.052;0.090;0.062;0.103;0.064;0.038;0.026;0.015;.;0.012;.;.
"Andel av fødte (prosent)";"Iris";0.026;0.034;0.042;0.052;0.069;0.020;0.023;0.059;0.072;0.069;0.083;0.082;0.182;0.138;0.278
"Andel av fødte (prosent)";"Irma";0.020;0.031;.;.;0.011;0.023;0.026;0.031;0.028;0.017;0.018;.;0.024;.;.
"Andel av fødte (prosent)";"Irmelin";0.016;0.016;0.012;0.019;0.013;.;.;0.025;0.046;0.040;0.012;.;0.021;.;0.015
"Andel av fødte (prosent)";"Iryna";.;.;.;0.014;0.016;0.031;0.020;0.022;0.015;.;.;.;.;.;.
"Andel av fødte (prosent)";"Isa";.;.;.;.;.;.;.;.;0.013;.;0.018;0.035;0.042;0.033;0.019
"Andel av fødte (prosent)";"Isabel";.;.;0.012;0.022;0.011;0.042;0.014;0.061;0.100;0.066;0.138;0.241;0.158;0.099;0.061
"Andel av fødte (prosent)";"Isabell";.;.;.;.;0.016;0.011;0.017;0.047;0.077;0.063;0.052;0.193;0.188;0.171;0.072
"Andel av fødte (prosent)";"Isabella";.;.;0.012;.;.;.;.;0.014;0.028;0.029;0.083;0.209;0.431;0.362;0.263
"Andel av fødte (prosent)";"Isabelle";.;.;.;.;0.016;0.017;0.026;0.020;0.082;0.058;0.061;0.127;0.097;0.132;0.053
"Andel av fødte (prosent)";"Iselin";.;.;.;.;.;0.014;0.066;0.192;0.343;0.302;0.278;0.263;0.209;0.066;0.030
"Andel av fødte (prosent)";"Ivana";.;.;.;.;.;0.023;0.040;0.039;0.046;.;0.015;.;.;.;.
"Andel av fødte (prosent)";"Iwona";.;.;0.015;0.030;0.050;0.079;0.063;0.047;0.023;.;.;.;.;.;.
"Andel av fødte (prosent)";"Izabela";.;.;.;0.016;0.034;0.051;0.068;0.064;0.020;0.020;.;.;.;.;.
"Andel av fødte (prosent)";"Jacqueline";.;0.016;0.012;0.035;0.029;.;0.017;0.017;0.018;0.012;.;.;.;.;.
"Andel av fødte (prosent)";"Jamila";.;.;.;.;0.016;0.023;.;0.022;0.010;.;.;.;0.015;.;.
"Andel av fødte (prosent)";"Jana";.;.;.;0.011;0.018;0.025;0.040;0.045;0.033;.;0.018;0.035;0.058;0.036;.
"Andel av fødte (prosent)";"Jane";0.072;0.152;0.302;0.215;0.153;0.146;0.074;0.059;0.061;0.029;0.024;0.013;.;.;.
"Andel av fødte (prosent)";"Janet";0.013;0.044;0.033;.;0.024;0.039;0.026;0.017;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Janicke";.;.;0.033;0.044;0.042;0.090;0.049;0.020;0.015;0.012;0.018;.;.;.;.
"Andel av fødte (prosent)";"Janita";.;.;.;.;.;0.017;0.020;0.028;0.031;.;.;.;.;.;.
"Andel av fødte (prosent)";"Janne";0.096;0.239;0.483;0.559;0.656;0.653;0.491;0.401;0.215;0.164;0.079;0.057;0.036;.;.
"Andel av fødte (prosent)";"Janniche";.;.;.;.;0.024;0.028;0.029;0.011;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Jannicke";.;0.012;0.018;0.033;0.148;0.233;0.211;0.117;0.126;0.084;0.024;0.022;0.021;.;.
"Andel av fødte (prosent)";"Jannike";.;0.012;0.015;0.022;0.018;0.073;0.046;0.042;0.056;0.035;0.024;.;.;.;.
"Andel av fødte (prosent)";"Jasmin";.;.;.;.;.;0.011;.;.;0.023;0.046;0.049;0.095;0.052;0.066;0.027
"Andel av fødte (prosent)";"Jasmina";.;.;.;0.011;.;0.011;0.011;0.028;0.018;.;.;.;0.024;.;0.015
"Andel av fødte (prosent)";"Jasmine";.;.;.;.;.;.;.;.;0.010;0.023;0.015;0.041;0.027;0.013;0.046
"Andel av fødte (prosent)";"Jeanett";.;.;.;.;.;.;0.029;0.128;0.120;0.089;0.037;0.013;.;.;.
"Andel av fødte (prosent)";"Jeanette";.;.;0.024;0.065;0.153;0.315;0.337;0.516;0.295;0.199;0.067;0.025;0.015;.;.
"Andel av fødte (prosent)";"Jelena";.;.;0.033;0.025;0.032;0.051;0.077;0.081;0.051;0.020;0.012;0.016;0.012;.;.
"Andel av fødte (prosent)";"Jenni";.;.;.;.;.;.;.;.;0.018;0.014;0.012;0.022;0.021;0.023;0.038
"Andel av fødte (prosent)";"Jennie";.;.;.;.;.;.;0.011;0.011;0.010;0.026;0.015;0.035;0.052;0.046;0.050
"Andel av fødte (prosent)";"Jennifer";.;.;.;.;0.024;0.045;0.040;0.078;0.054;0.063;0.086;0.035;0.033;0.013;0.015
"Andel av fødte (prosent)";"Jenny";0.119;0.065;0.066;0.054;0.042;0.118;0.166;0.170;0.200;0.331;0.541;0.589;0.646;0.840;0.651
"Andel av fødte (prosent)";"Jessica";.;.;.;.;0.016;0.051;0.060;0.067;0.108;0.069;0.052;0.066;0.143;0.040;.
"Andel av fødte (prosent)";"Jette";0.013;0.028;0.012;0.016;.;.;.;.;.;.;.;0.013;.;0.016;.
"Andel av fødte (prosent)";"Jill";.;.;0.024;0.041;0.053;0.062;0.020;0.020;0.023;0.017;.;0.013;.;.;.
"Andel av fødte (prosent)";"Joan";0.016;.;.;0.014;0.011;.;0.020;0.014;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Joanna";.;0.012;0.015;0.027;0.050;0.104;0.134;0.170;0.126;0.032;.;0.016;0.015;0.016;.
"Andel av fødte (prosent)";"Jofrid";0.030;0.034;0.039;0.014;0.011;0.017;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Johanna";0.016;0.022;0.030;0.016;0.024;0.034;0.103;0.059;0.092;0.101;0.138;0.215;0.246;0.250;0.244
"Andel av fødte (prosent)";"Johanne";0.109;0.115;0.036;0.065;0.029;0.051;0.074;0.095;0.187;0.308;0.434;0.453;0.355;0.296;0.362
"Andel av fødte (prosent)";"Jolanta";.;0.012;0.042;0.071;0.061;0.062;0.046;0.039;0.018;.;.;.;.;.;.
"Andel av fødte (prosent)";"Jorid";0.086;0.106;0.063;0.060;0.045;.;0.026;0.025;0.013;0.020;0.015;.;0.012;.;.
"Andel av fødte (prosent)";"Jorun";0.326;0.258;0.193;0.090;0.079;0.031;0.023;0.031;0.018;.;.;.;.;.;.
"Andel av fødte (prosent)";"Jorunn";1.031;0.787;0.778;0.477;0.300;0.233;0.117;0.064;0.023;0.037;0.052;0.025;0.021;0.023;0.019
"Andel av fødte (prosent)";"Josefine";.;.;.;.;.;0.011;.;0.011;0.056;0.121;0.119;0.244;0.288;0.326;0.446
"Andel av fødte (prosent)";"Josephine";.;.;0.021;0.019;0.018;0.020;0.011;.;0.013;0.020;0.031;0.032;0.021;0.026;0.065
"Andel av fødte (prosent)";"Judit";0.016;0.025;0.012;0.011;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Judith";0.161;0.093;0.075;0.052;0.034;0.034;0.017;0.031;0.015;0.014;0.015;0.013;0.012;.;.
"Andel av fødte (prosent)";"Julia";0.013;0.028;0.021;0.027;0.037;0.056;0.091;0.173;0.164;0.228;0.321;0.487;0.449;0.421;0.377
"Andel av fødte (prosent)";"Juliana";.;.;.;.;0.011;.;.;0.020;0.013;0.020;.;0.022;0.015;0.020;.
"Andel av fødte (prosent)";"Juliane";.;.;.;.;.;.;.;0.014;0.026;0.046;0.052;0.070;0.033;.;0.015
"Andel av fødte (prosent)";"Julianne";0.016;.;.;.;0.016;0.017;0.026;0.022;0.028;0.089;0.070;0.054;0.033;0.030;0.030
"Andel av fødte (prosent)";"Julie";.;0.016;0.021;0.035;0.050;0.169;0.180;0.421;0.679;1.368;1.415;1.355;1.053;0.747;0.617
"Andel av fødte (prosent)";"June";0.023;0.081;0.072;0.106;0.061;0.129;0.188;0.131;0.190;0.130;0.189;0.130;0.109;0.043;0.080
"Andel av fødte (prosent)";"Juni";.;.;.;.;.;.;.;.;0.023;0.055;0.086;0.047;0.042;0.013;0.038
"Andel av fødte (prosent)";"Jurgita";.;.;.;.;.;0.031;0.088;0.022;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Justyna";.;.;.;.;0.011;0.048;0.060;0.095;0.077;0.035;.;.;.;.;.
"Andel av fødte (prosent)";"Kaia";.;.;.;.;.;0.011;0.043;0.031;0.072;0.066;0.107;0.146;0.097;0.082;0.114
"Andel av fødte (prosent)";"Kaisa";.;.;.;.;.;.;.;0.011;0.036;0.040;0.064;0.085;0.067;0.030;0.027
"Andel av fødte (prosent)";"Kaja";.;.;0.021;0.014;0.013;0.034;0.111;0.162;0.236;0.274;0.474;0.475;0.367;0.263;0.358
"Andel av fødte (prosent)";"Kajsa";.;.;.;.;.;.;0.014;0.011;0.015;0.035;0.043;0.076;0.049;0.036;0.023
"Andel av fødte (prosent)";"Kamila";.;.;.;.;0.011;.;0.031;0.070;0.028;0.032;0.012;.;0.015;0.030;0.015
"Andel av fødte (prosent)";"Kamilla";.;.;.;.;.;0.028;0.068;0.067;0.218;0.302;0.229;0.136;0.091;0.072;0.038
"Andel av fødte (prosent)";"Karen";0.320;0.227;0.211;0.166;0.134;0.146;0.220;0.206;0.213;0.199;0.244;0.190;0.155;0.079;0.050
"Andel av fødte (prosent)";"Kari";2.323;2.071;1.816;1.384;0.790;0.532;0.357;0.270;0.169;0.173;0.125;0.089;0.058;0.063;0.088
"Andel av fødte (prosent)";"Kari-Anne";0.013;0.012;0.015;0.022;0.105;0.031;0.026;0.022;0.010;0.017;.;.;.;.;.
"Andel av fødte (prosent)";"Karianne";.;.;.;0.016;0.271;0.203;0.208;0.190;0.164;0.144;0.107;0.038;0.024;.;.
"Andel av fødte (prosent)";"Karin";1.377;0.902;0.724;0.507;0.319;0.205;0.140;0.134;0.069;0.066;0.058;0.025;0.027;0.023;.
"Andel av fødte (prosent)";"Karina";.;.;0.027;0.057;0.074;0.146;0.211;0.265;0.279;0.236;0.141;0.082;0.067;0.056;0.027
"Andel av fødte (prosent)";"Karine";.;.;0.012;0.019;0.029;0.045;0.086;0.053;0.082;0.046;0.070;0.060;0.018;0.023;.
"Andel av fødte (prosent)";"Karla";.;.;.;.;.;.;0.020;.;0.018;.;.;.;0.027;0.033;0.042
"Andel av fødte (prosent)";"Karolina";.;.;.;.;.;0.020;0.086;0.148;0.126;0.112;0.083;0.070;0.046;0.033;0.046
"Andel av fødte (prosent)";"Karoline";.;.;0.015;0.014;0.024;0.087;0.163;0.279;1.035;1.005;0.691;0.532;0.358;0.293;0.129
"Andel av fødte (prosent)";"Katarina";.;.;.;.;0.037;0.037;0.063;0.064;0.085;0.107;0.067;0.035;0.046;0.023;.
"Andel av fødte (prosent)";"Katarzyna";.;.;.;0.022;0.053;0.110;0.240;0.251;0.182;0.089;.;.;.;.;.
"Andel av fødte (prosent)";"Kate";0.096;0.096;0.121;0.104;0.116;0.051;0.031;0.033;0.023;0.012;.;0.019;0.012;.;0.015
"Andel av fødte (prosent)";"Katharina";.;.;.;.;0.026;0.031;0.049;0.056;0.069;0.075;0.064;0.019;.;.;.
"Andel av fødte (prosent)";"Kathe";0.036;0.031;0.030;0.041;0.018;0.011;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Katherine";.;.;.;.;.;0.028;0.026;0.020;0.015;0.029;0.012;.;.;.;.
"Andel av fødte (prosent)";"Kathinka";.;.;.;.;0.016;0.025;.;.;0.023;0.020;0.024;0.019;.;.;.
"Andel av fødte (prosent)";"Kathrin";.;.;.;0.033;0.032;0.042;0.031;0.028;0.010;.;.;.;.;.;.
"Andel av fødte (prosent)";"Kathrine";.;.;0.012;0.087;0.216;0.278;0.397;0.256;0.202;0.170;0.079;0.047;0.021;0.016;0.019
"Andel av fødte (prosent)";"Katinka";.;.;.;.;.;.;0.014;0.020;0.046;0.020;0.031;0.025;0.018;.;.
"Andel av fødte (prosent)";"Katja";.;.;.;.;0.045;0.056;0.029;0.031;0.041;0.032;0.018;0.038;0.012;.;.
"Andel av fødte (prosent)";"Katrin";.;.;0.012;0.046;0.029;0.042;0.040;0.042;0.044;0.017;.;0.016;.;.;.
"Andel av fødte (prosent)";"Katrina";.;.;.;.;.;.;.;0.014;0.015;.;0.021;0.028;0.012;.;.
"Andel av fødte (prosent)";"Katrine";.;.;0.027;0.104;0.206;0.276;0.342;0.348;0.430;0.348;0.223;0.114;0.049;0.036;0.030
"Andel av fødte (prosent)";"Kelly";.;.;.;.;.;.;0.026;0.025;.;0.012;0.012;0.025;.;.;.
"Andel av fødte (prosent)";"Kerstin";0.020;0.059;0.057;0.038;0.034;.;.;0.020;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Khadija";.;.;.;.;0.032;0.025;0.026;0.028;0.018;0.012;0.021;0.013;0.024;0.046;0.019
"Andel av fødte (prosent)";"Kim";.;0.022;0.045;0.035;0.053;0.037;0.031;0.031;0.054;0.023;0.015;.;.;.;.
"Andel av fødte (prosent)";"Kine";.;.;.;.;0.016;0.118;0.268;0.674;0.418;0.377;0.235;0.190;0.103;0.016;0.034
"Andel av fødte (prosent)";"Kinga";.;.;.;.;0.011;0.020;0.037;0.025;0.023;0.035;0.024;.;.;.;.
"Andel av fødte (prosent)";"Kira";.;.;.;.;.;.;.;.;0.010;.;.;0.022;0.039;0.030;0.015
"Andel av fødte (prosent)";"Kirsten";0.942;0.771;0.404;0.242;0.163;0.104;0.083;0.050;0.020;0.020;0.031;0.019;0.012;.;.
"Andel av fødte (prosent)";"Kirsti";0.544;0.367;0.308;0.354;0.290;0.197;0.120;0.059;0.044;0.020;0.018;0.016;.;.;.
"Andel av fødte (prosent)";"Kitty";0.056;0.047;0.021;0.025;0.021;.;0.014;.;.;.;.;0.016;.;.;.
"Andel av fødte (prosent)";"Kjellaug";0.221;0.128;0.063;0.033;0.011;.;0.011;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Kjellfrid";0.046;0.037;0.018;0.011;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Kjellrun";0.049;0.034;.;0.014;0.011;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Kjersti";0.264;0.339;0.465;0.594;0.609;0.563;0.468;0.284;0.233;0.158;0.083;0.051;0.018;.;.
"Andel av fødte (prosent)";"Kjerstin";0.023;0.040;0.039;0.054;0.042;0.039;0.026;0.031;0.015;0.014;0.012;.;.;.;.
"Andel av fødte (prosent)";"Klara";0.089;0.047;0.027;0.016;0.013;0.023;0.014;0.014;0.015;0.014;0.040;0.051;0.109;0.191;0.286
"Andel av fødte (prosent)";"Klaudia";.;.;.;.;.;.;.;0.020;0.056;0.072;0.043;0.025;.;0.020;.
"Andel av fødte (prosent)";"Kornelia";.;.;.;.;.;.;.;.;.;0.026;0.034;0.047;0.082;0.148;0.118
"Andel av fødte (prosent)";"Kristel";.;.;.;0.011;0.016;0.014;0.017;0.017;.;0.020;.;.;.;.;.
"Andel av fødte (prosent)";"Kristi";0.036;0.016;0.021;0.033;0.021;0.028;0.017;0.020;0.018;0.023;0.015;0.016;0.012;.;.
"Andel av fødte (prosent)";"Kristiane";.;.;.;.;.;.;.;0.011;0.031;0.055;0.067;0.047;0.055;0.020;0.019
"Andel av fødte (prosent)";"Kristin";0.376;0.523;0.996;1.469;1.307;1.227;1.059;0.850;0.592;0.648;0.379;0.174;0.112;0.059;0.042
"Andel av fødte (prosent)";"Kristina";.;0.016;0.012;0.035;0.066;0.194;0.297;0.273;0.577;0.406;0.342;0.187;0.127;0.132;0.034
"Andel av fødte (prosent)";"Kristine";0.096;0.056;0.069;0.123;0.232;0.492;0.722;0.766;1.048;1.068;0.721;0.405;0.252;0.145;0.122
"Andel av fødte (prosent)";"Krystyna";0.026;0.025;0.036;0.016;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Laila";0.844;0.662;0.546;0.692;0.703;0.594;0.303;0.103;0.064;0.055;0.052;0.060;0.039;0.036;0.061
"Andel av fødte (prosent)";"Lajla";0.026;0.016;.;0.019;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Lana";.;.;.;.;.;.;0.020;0.017;0.010;.;0.012;0.038;0.046;0.069;0.072
"Andel av fødte (prosent)";"Lara";.;.;.;.;0.013;0.011;0.020;0.011;0.013;0.029;0.040;0.057;0.082;0.086;0.141
"Andel av fødte (prosent)";"Larisa";.;.;.;0.019;0.011;.;0.011;0.011;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Laura";0.020;0.019;.;0.016;0.026;0.031;0.137;0.128;0.064;0.109;0.101;0.092;0.103;0.151;0.145
"Andel av fødte (prosent)";"Lea";.;.;.;.;.;0.011;0.014;0.017;0.018;0.066;0.235;0.345;0.246;0.237;0.331
"Andel av fødte (prosent)";"Leah";.;.;.;.;.;.;.;0.011;0.013;0.012;0.076;0.396;0.798;0.797;0.765
"Andel av fødte (prosent)";"Leikny";0.023;0.012;0.012;.;0.011;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Leila";.;.;0.012;.;0.024;0.037;0.037;0.025;0.026;0.012;0.028;.;0.021;.;0.015
"Andel av fødte (prosent)";"Lena";0.030;0.059;0.136;0.226;0.788;0.695;0.608;0.351;0.361;0.285;0.162;0.104;0.167;0.142;0.141
"Andel av fødte (prosent)";"Lene";0.033;0.040;0.139;0.264;0.825;0.982;1.173;0.736;0.551;0.412;0.296;0.070;0.024;0.036;.
"Andel av fødte (prosent)";"Leni";.;.;.;0.025;0.024;.;.;0.020;.;.;0.012;.;0.021;.;.
"Andel av fødte (prosent)";"Leona";.;.;.;.;.;.;.;.;.;.;.;0.070;0.082;0.109;0.069
"Andel av fødte (prosent)";"Leonora";.;.;.;.;.;.;.;.;.;0.017;0.028;0.060;0.127;0.174;0.187
"Andel av fødte (prosent)";"Leyla";.;.;.;.;0.013;0.017;.;0.020;0.013;0.017;0.021;0.013;0.012;.;0.015
"Andel av fødte (prosent)";"Liana";.;.;.;.;.;.;.;.;0.010;.;.;.;0.058;0.053;0.080
"Andel av fødte (prosent)";"Lidia";.;0.012;0.018;0.016;0.018;0.020;.;0.022;0.013;.;.;.;.;0.013;.
"Andel av fødte (prosent)";"Lilian";0.030;0.016;.;.;0.013;0.014;.;.;.;.;0.012;.;.;.;.
"Andel av fødte (prosent)";"Liliana";.;.;.;0.011;.;0.017;0.029;0.020;.;.;.;.;.;0.066;0.050
"Andel av fødte (prosent)";"Lilja";.;.;.;.;.;.;.;.;0.018;0.012;0.012;0.051;0.152;0.125;0.103
"Andel av fødte (prosent)";"Lill";0.109;0.171;0.199;0.142;0.285;0.219;0.126;0.156;0.064;0.037;0.021;0.022;0.015;.;.
"Andel av fødte (prosent)";"Lilli";0.016;0.016;.;.;0.013;.;.;.;.;0.012;.;0.025;0.055;0.095;0.095
"Andel av fødte (prosent)";"Lillian";0.501;0.439;0.407;0.308;0.208;0.197;0.185;0.128;0.067;0.046;0.043;0.035;0.049;0.043;0.046
"Andel av fødte (prosent)";"Lilly";0.076;0.062;0.039;0.016;0.026;0.028;0.014;0.017;0.015;0.014;0.037;0.079;0.343;0.593;0.453
"Andel av fødte (prosent)";"Lily";.;.;.;.;.;.;.;.;.;.;.;0.016;0.079;0.171;0.110
"Andel av fødte (prosent)";"Lin";.;.;.;.;0.045;0.158;.;.;.;.;.;0.013;.;0.013;.
"Andel av fødte (prosent)";"Lina";.;.;0.012;0.030;0.037;0.068;0.180;0.137;0.146;0.193;0.159;0.218;0.240;0.217;0.141
"Andel av fødte (prosent)";"Linda";0.076;0.196;0.616;0.853;1.412;2.051;1.313;1.118;0.620;0.366;0.089;0.063;0.049;0.033;0.030
"Andel av fødte (prosent)";"Lindis";0.023;0.025;0.018;0.025;0.018;0.014;0.011;0.014;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Line";.;.;0.084;0.474;1.020;1.170;0.639;0.819;0.728;0.469;0.214;0.146;0.097;0.049;0.046
"Andel av fødte (prosent)";"Linea";.;.;.;.;.;.;.;.;.;.;0.037;0.117;0.222;0.095;0.076
"Andel av fødte (prosent)";"Linn";.;.;.;0.022;0.166;0.349;0.910;1.106;0.953;0.559;0.355;0.180;0.106;0.066;0.027
"Andel av fødte (prosent)";"Linnea";.;.;.;.;.;.;0.023;0.028;0.051;0.109;0.174;0.639;1.178;0.764;0.628
"Andel av fødte (prosent)";"Lisa";0.023;0.022;0.027;0.063;0.071;0.141;0.197;0.332;0.400;0.521;0.336;0.301;0.252;0.161;0.156
"Andel av fødte (prosent)";"Lisbet";0.066;0.081;0.063;0.046;0.069;0.031;0.014;0.014;0.010;.;.;.;.;.;.
"Andel av fødte (prosent)";"Lisbeth";0.517;0.631;0.546;0.553;0.361;0.264;0.140;0.114;0.077;0.046;.;0.013;.;.;.
"Andel av fødte (prosent)";"Lise";0.277;0.295;0.510;0.610;0.493;0.419;0.411;0.463;0.389;0.343;0.193;0.123;0.082;0.063;0.030
"Andel av fødte (prosent)";"Liss";0.023;0.047;0.075;0.063;0.045;0.034;0.023;0.014;.;0.012;.;.;.;.;.
"Andel av fødte (prosent)";"Liv";2.471;1.959;1.424;0.954;0.685;0.484;0.331;0.259;0.154;0.098;0.125;0.155;0.258;0.277;0.286
"Andel av fødte (prosent)";"Liva";.;.;.;.;.;.;.;.;0.013;.;0.021;0.057;0.070;0.069;0.133
"Andel av fødte (prosent)";"Live";0.016;0.022;0.015;0.027;0.047;0.025;0.049;0.075;0.069;0.089;0.134;0.329;0.349;0.474;0.754
"Andel av fødte (prosent)";"Livia";.;.;.;.;.;.;.;.;.;.;.;0.016;0.036;0.056;0.091
"Andel av fødte (prosent)";"Liz";.;.;0.024;.;0.016;0.014;.;0.022;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Liza";.;.;.;.;0.011;0.011;0.011;0.014;0.013;.;.;0.016;.;0.020;.
"Andel av fødte (prosent)";"Lone";.;0.012;0.021;0.063;0.047;0.107;0.049;0.072;0.059;0.086;0.128;0.095;0.115;0.063;0.080
"Andel av fødte (prosent)";"Lotta";.;.;.;.;.;.;.;.;.;0.014;0.015;0.051;0.127;0.095;0.122
"Andel av fødte (prosent)";"Lotte";.;.;.;0.016;0.016;0.045;0.017;0.031;0.095;0.109;0.125;0.136;0.219;0.230;0.187
"Andel av fødte (prosent)";"Louise";0.013;.;.;0.016;.;0.039;0.034;0.045;0.082;0.115;0.141;0.114;0.197;0.280;0.301
"Andel av fødte (prosent)";"Lovise";0.013;0.019;.;.;.;.;.;.;0.046;0.049;0.061;0.057;0.058;0.086;0.103
"Andel av fødte (prosent)";"Lucia";.;.;0.012;.;.;.;0.011;0.022;0.015;.;0.024;0.013;0.024;0.030;0.027
"Andel av fødte (prosent)";"Lucy";.;.;.;0.014;.;.;.;.;0.010;0.020;.;0.019;0.021;0.043;0.072
"Andel av fødte (prosent)";"Luna";.;.;.;.;.;.;.;.;0.010;0.017;0.031;0.066;0.143;0.247;0.385
"Andel av fødte (prosent)";"Lydia";0.016;.;.;.;.;0.011;0.017;0.022;0.020;0.043;0.028;0.032;0.052;0.095;0.133
"Andel av fødte (prosent)";"Lykke";.;.;.;.;.;.;.;.;.;.;0.012;0.044;0.234;0.277;0.171
"Andel av fødte (prosent)";"Ma";.;.;.;0.016;0.011;.;0.029;0.053;0.026;0.023;.;0.013;.;.;.
"Andel av fødte (prosent)";"Madeleine";.;.;.;.;.;0.020;.;0.128;0.241;0.181;0.174;0.241;0.127;0.151;0.107
"Andel av fødte (prosent)";"Madelen";.;.;.;.;.;.;.;0.020;0.085;0.181;0.211;0.256;0.185;0.217;0.129
"Andel av fødte (prosent)";"Madelene";.;.;.;.;.;.;.;0.017;0.018;0.032;0.024;0.022;0.027;.;.
"Andel av fødte (prosent)";"Magda";.;0.012;.;.;.;.;.;0.011;0.010;0.014;.;.;.;.;.
"Andel av fødte (prosent)";"Magdalena";.;.;0.018;0.022;0.026;0.068;0.231;0.234;0.197;0.084;0.028;0.041;0.027;0.016;0.019
"Andel av fødte (prosent)";"Magna";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Magnhild";0.161;0.118;0.057;0.052;0.024;0.031;0.051;0.050;0.023;0.035;0.021;0.013;0.018;0.026;.
"Andel av fødte (prosent)";"Magni";0.036;0.031;0.036;0.014;0.018;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Magny";0.046;0.034;0.030;.;.;.;0.011;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Mai";0.099;0.165;0.103;0.065;0.079;0.045;0.034;0.039;0.044;0.040;0.040;0.032;0.021;.;0.023
"Andel av fødte (prosent)";"Mai-Britt";.;0.044;0.036;0.027;0.011;0.011;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Maia";.;.;.;.;.;.;.;.;0.020;0.052;0.079;0.158;0.149;0.109;0.228
"Andel av fødte (prosent)";"Maiken";.;0.028;.;.;0.018;0.039;0.060;0.059;0.210;0.236;0.244;0.152;0.194;0.181;0.160
