"10467: Fødte, etter statistikkvariabel, fornavn og år"

"statistikkvariabel";"fornavn";"1950";"1955";"1960";"1965";"1970";"1975";"1980";"1985";"1990";"1995";"2000";"2005";"2010";"2015";"2020"
"Andel av fødte (prosent)";"Birthe";0.013;0.016;0.039;0.049;0.024;0.045;0.049;0.022;0.023;0.020;0.024;.;.;.;.
"Andel av fødte (prosent)";"Bjørg";1.806;1.229;0.724;0.401;0.166;0.118;0.091;0.036;0.033;0.020;0.034;.;.;.;.
"Andel av fødte (prosent)";"Bodil";0.675;0.491;0.389;0.270;0.192;0.163;0.097;0.033;0.018;.;.;.;.;.;.
"Andel av fødte (prosent)";"Borghild";0.135;0.040;0.042;0.065;0.026;0.020;0.031;0.014;0.013;0.012;0.018;0.013;.;.;0.019
"Andel av fødte (prosent)";"Borgny";0.099;0.025;0.018;.;.;0.011;.;.;.;.;.;0.016;.;.;.
"Andel av fødte (prosent)";"Bozena";.;0.016;0.021;0.022;0.021;0.020;0.017;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Brit";0.850;0.678;0.395;0.300;0.166;0.068;0.060;0.031;0.020;.;0.012;.;.;.;.
"Andel av fødte (prosent)";"Brita";0.145;0.121;0.109;0.136;0.055;0.048;0.043;0.028;0.044;0.020;0.015;.;.;.;.
"Andel av fødte (prosent)";"Brith";0.105;0.056;0.030;0.030;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Britt";0.702;0.840;0.694;0.520;0.350;0.211;0.143;0.067;0.044;0.026;0.018;.;.;.;.
"Andel av fødte (prosent)";"Brynhild";0.040;0.037;0.042;0.016;0.018;0.020;0.011;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Bushra";.;.;0.015;.;0.011;0.011;.;0.022;0.015;.;.;0.016;0.027;0.013;.
"Andel av fødte (prosent)";"Camilla";.;0.016;0.015;0.095;0.261;0.982;1.396;1.112;1.327;1.019;0.740;0.355;0.179;0.115;0.053
"Andel av fødte (prosent)";"Carina";.;.;0.027;0.049;0.092;0.104;0.223;0.279;0.269;0.147;0.116;0.051;0.030;0.013;0.015
"Andel av fødte (prosent)";"Carine";.;.;.;.;.;0.025;.;0.020;0.033;0.020;0.021;.;.;.;.
"Andel av fødte (prosent)";"Carla";.;.;.;.;.;0.020;.;0.011;0.020;0.012;0.012;0.013;0.024;0.043;0.034
"Andel av fødte (prosent)";"Carmen";.;0.016;0.012;0.025;0.026;0.017;0.023;0.022;0.020;0.023;0.049;0.082;0.115;0.072;0.038
"Andel av fødte (prosent)";"Carolina";.;.;.;.;0.016;0.017;0.031;.;0.028;0.012;0.018;0.022;.;.;0.023
"Andel av fødte (prosent)";"Caroline";.;.;.;0.025;0.053;0.135;0.171;0.312;0.748;0.579;0.455;0.304;0.255;0.135;0.069
"Andel av fødte (prosent)";"Cassandra";.;.;.;.;.;.;.;.;0.036;0.029;0.070;0.070;0.103;0.063;0.061
"Andel av fødte (prosent)";"Catharina";.;.;0.012;0.030;0.029;0.023;.;0.036;0.054;0.049;0.031;0.016;.;.;.
"Andel av fødte (prosent)";"Catherine";.;.;0.012;0.030;0.037;0.037;0.051;0.042;0.020;0.032;0.012;.;.;.;.
"Andel av fødte (prosent)";"Cathrin";.;.;.;0.019;0.029;0.045;0.037;0.025;0.026;0.012;.;.;.;.;.
"Andel av fødte (prosent)";"Cathrine";.;.;0.042;0.302;0.472;0.574;0.642;0.560;0.536;0.363;0.131;0.051;0.012;0.013;0.015
"Andel av fødte (prosent)";"Catrine";.;.;.;0.014;0.018;0.031;0.040;0.042;0.054;0.023;.;.;.;.;.
"Andel av fødte (prosent)";"Cecilia";.;.;0.024;0.027;0.026;0.045;0.043;0.033;0.041;0.020;0.064;0.060;0.055;0.043;.
"Andel av fødte (prosent)";"Cecilie";0.033;0.047;0.054;0.207;0.432;0.934;0.748;0.713;0.528;0.490;0.275;0.127;0.085;0.040;0.019
"Andel av fødte (prosent)";"Celia";.;.;.;.;.;.;.;.;.;0.020;0.012;.;.;0.036;0.038
"Andel av fødte (prosent)";"Celina";.;.;.;.;.;.;0.014;0.022;0.013;0.109;0.241;0.364;0.237;0.191;0.088
"Andel av fødte (prosent)";"Celine";.;.;.;.;.;0.014;0.023;0.050;0.051;0.317;0.568;0.500;0.425;0.385;0.263
"Andel av fødte (prosent)";"Cesilie";.;.;.;.;0.013;0.025;0.020;0.022;0.015;0.014;.;.;.;.;.
"Andel av fødte (prosent)";"Charlotte";.;0.012;0.018;0.041;0.134;0.295;0.223;0.429;0.835;0.573;0.373;0.196;0.197;0.201;0.110
"Andel av fødte (prosent)";"Christel";0.013;0.012;.;0.027;0.032;0.042;0.049;0.036;0.041;.;0.015;.;.;.;.
"Andel av fødte (prosent)";"Christiane";.;.;0.015;.;0.011;.;0.020;0.025;0.018;0.049;0.049;0.044;0.021;0.013;.
"Andel av fødte (prosent)";"Christin";.;0.037;0.042;0.117;0.134;0.068;0.049;0.036;0.028;0.012;.;.;.;.;.
